topic,year,pubs,cites
High-pressure geophysics and materials,2002,2,85
High-pressure geophysics and materials,2003,4,767
High-pressure geophysics and materials,2004,7,753
High-pressure geophysics and materials,2005,4,323
High-pressure geophysics and materials,2006,6,546
High-pressure geophysics and materials,2007,5,585
High-pressure geophysics and materials,2008,6,613
High-pressure geophysics and materials,2009,4,365
High-pressure geophysics and materials,2010,5,1074
High-pressure geophysics and materials,2011,6,1012
High-pressure geophysics and materials,2012,5,824
High-pressure geophysics and materials,2013,4,1239
High-pressure geophysics and materials,2014,6,494
High-pressure geophysics and materials,2015,8,938
High-pressure geophysics and materials,2016,6,301
High-pressure geophysics and materials,2017,14,1463
High-pressure geophysics and materials,2018,18,791
High-pressure geophysics and materials,2019,7,488
High-pressure geophysics and materials,2020,5,660
High-pressure geophysics and materials,2021,9,226
High-pressure geophysics and materials,2022,6,62
High-pressure geophysics and materials,2023,7,62
High-pressure geophysics and materials,2024,9,95
High-pressure geophysics and materials,2025,5,18
High-pressure geophysics and materials,2026,2,0
Historical and Environmental Studies,1978,1,0
Historical and Literary Analyses,1995,1,8
Historical and Literary Studies,1966,1,0
Historical and Literary Studies,2005,1,0
Historical and socio-economic studies of Spain and related regions,2011,1,0
Historical Art and Culture Studies,1995,1,8
Historical Astronomy and Related Studies,2022,1,0
Historical Geography and Cartography,2015,2,0
Historical Studies of British Isles,2008,1,0
"Historical, Religious, and Philosophical Studies",2003,1,1
History and advancements in chemistry,1997,1,0
History and advancements in chemistry,2018,1,48
History of Science and Natural History,1966,2,41
History of Science and Natural History,1987,1,0
History of Science and Natural History,2018,1,1
History of Science and Natural History,2023,1,0
Hormonal Regulation and Hypertension,1995,1,119
Human auditory perception and evaluation,1988,1,0
Human auditory perception and evaluation,1994,1,0
Human auditory perception and evaluation,2003,1,0
Human auditory perception and evaluation,2005,1,0
Human auditory perception and evaluation,2021,1,0
Humor Studies and Applications,2001,1,131
Hybrid Renewable Energy Systems,2024,3,19
Hybrid Renewable Energy Systems,2025,2,17
Hybrid Renewable Energy Systems,2026,1,0
Hydraulic and Pneumatic Systems,2003,1,1
Hydraulic Fracturing and Reservoir Analysis,1981,1,36
Hydraulic Fracturing and Reservoir Analysis,1990,1,34
Hydraulic Fracturing and Reservoir Analysis,1991,3,16
Hydraulic Fracturing and Reservoir Analysis,1992,3,255
Hydraulic Fracturing and Reservoir Analysis,1993,3,88
Hydraulic Fracturing and Reservoir Analysis,1994,3,164
Hydraulic Fracturing and Reservoir Analysis,1997,3,38
Hydraulic Fracturing and Reservoir Analysis,2003,3,231
Hydraulic Fracturing and Reservoir Analysis,2004,2,41
Hydraulic Fracturing and Reservoir Analysis,2005,2,0
Hydraulic Fracturing and Reservoir Analysis,2006,4,111
Hydraulic Fracturing and Reservoir Analysis,2007,1,0
Hydraulic Fracturing and Reservoir Analysis,2008,7,37
Hydraulic Fracturing and Reservoir Analysis,2009,1,1
Hydraulic Fracturing and Reservoir Analysis,2010,7,13
Hydraulic Fracturing and Reservoir Analysis,2011,6,9
Hydraulic Fracturing and Reservoir Analysis,2012,4,443
Hydraulic Fracturing and Reservoir Analysis,2013,6,144
Hydraulic Fracturing and Reservoir Analysis,2014,10,74
Hydraulic Fracturing and Reservoir Analysis,2015,7,18
Hydraulic Fracturing and Reservoir Analysis,2016,16,284
Hydraulic Fracturing and Reservoir Analysis,2017,17,140
Hydraulic Fracturing and Reservoir Analysis,2018,18,220
Hydraulic Fracturing and Reservoir Analysis,2019,29,512
Hydraulic Fracturing and Reservoir Analysis,2020,25,429
Hydraulic Fracturing and Reservoir Analysis,2021,21,257
Hydraulic Fracturing and Reservoir Analysis,2022,35,354
Hydraulic Fracturing and Reservoir Analysis,2023,34,502
Hydraulic Fracturing and Reservoir Analysis,2024,41,345
Hydraulic Fracturing and Reservoir Analysis,2025,30,62
Hydraulic Fracturing and Reservoir Analysis,2026,4,1
Hydrocarbon exploration and reservoir analysis,1966,1,57
Hydrocarbon exploration and reservoir analysis,1976,1,27
Hydrocarbon exploration and reservoir analysis,1977,2,63
Hydrocarbon exploration and reservoir analysis,1981,1,36
Hydrocarbon exploration and reservoir analysis,1982,1,11
Hydrocarbon exploration and reservoir analysis,1983,2,64
Hydrocarbon exploration and reservoir analysis,1984,4,34
Hydrocarbon exploration and reservoir analysis,1985,5,95
Hydrocarbon exploration and reservoir analysis,1986,6,254
Hydrocarbon exploration and reservoir analysis,1987,7,120
Hydrocarbon exploration and reservoir analysis,1988,3,215
Hydrocarbon exploration and reservoir analysis,1989,9,475
Hydrocarbon exploration and reservoir analysis,1990,9,264
Hydrocarbon exploration and reservoir analysis,1991,18,536
Hydrocarbon exploration and reservoir analysis,1992,5,471
Hydrocarbon exploration and reservoir analysis,1993,10,402
Hydrocarbon exploration and reservoir analysis,1994,7,326
Hydrocarbon exploration and reservoir analysis,1995,11,287
Hydrocarbon exploration and reservoir analysis,1996,5,157
Hydrocarbon exploration and reservoir analysis,1997,8,349
Hydrocarbon exploration and reservoir analysis,1998,7,159
Hydrocarbon exploration and reservoir analysis,1999,3,294
Hydrocarbon exploration and reservoir analysis,2000,9,548
Hydrocarbon exploration and reservoir analysis,2001,8,627
Hydrocarbon exploration and reservoir analysis,2002,6,320
Hydrocarbon exploration and reservoir analysis,2003,17,858
Hydrocarbon exploration and reservoir analysis,2004,14,444
Hydrocarbon exploration and reservoir analysis,2005,8,368
Hydrocarbon exploration and reservoir analysis,2006,15,475
Hydrocarbon exploration and reservoir analysis,2007,7,285
Hydrocarbon exploration and reservoir analysis,2008,24,501
Hydrocarbon exploration and reservoir analysis,2009,13,319
Hydrocarbon exploration and reservoir analysis,2010,44,1289
Hydrocarbon exploration and reservoir analysis,2011,22,874
Hydrocarbon exploration and reservoir analysis,2012,37,1559
Hydrocarbon exploration and reservoir analysis,2013,37,802
Hydrocarbon exploration and reservoir analysis,2014,47,1208
Hydrocarbon exploration and reservoir analysis,2015,50,803
Hydrocarbon exploration and reservoir analysis,2016,54,1251
Hydrocarbon exploration and reservoir analysis,2017,68,1122
Hydrocarbon exploration and reservoir analysis,2018,52,674
Hydrocarbon exploration and reservoir analysis,2019,65,1380
Hydrocarbon exploration and reservoir analysis,2020,56,779
Hydrocarbon exploration and reservoir analysis,2021,66,757
Hydrocarbon exploration and reservoir analysis,2022,96,1109
Hydrocarbon exploration and reservoir analysis,2023,84,995
Hydrocarbon exploration and reservoir analysis,2024,136,753
Hydrocarbon exploration and reservoir analysis,2025,108,253
Hydrocarbon exploration and reservoir analysis,2026,38,17
Hydrogen embrittlement and corrosion behaviors in metals,2026,1,0
Hydrogen Storage and Materials,2024,2,11
Hydrogen Storage and Materials,2026,1,0
Hydrological Forecasting Using AI,2022,6,218
Hydrological Forecasting Using AI,2023,1,31
Hydrological Forecasting Using AI,2024,4,47
Hydrological Forecasting Using AI,2025,2,9
Hydrological Forecasting Using AI,2026,1,0
Hydrology and Drought Analysis,2020,1,0
Hydrology and Drought Analysis,2022,1,67
Hydrology and Drought Analysis,2023,1,34
Hydrology and Sediment Transport Processes,1989,1,133
Hydrology and Sediment Transport Processes,2015,2,73
Hydrology and Sediment Transport Processes,2019,1,10
Hydrology and Sediment Transport Processes,2021,3,15
Hydrology and Sediment Transport Processes,2022,1,0
Hydrology and Sediment Transport Processes,2024,1,4
Hydrology and Sediment Transport Processes,2025,1,0
Hydrology and Watershed Management Studies,2010,1,4
Hydrology and Watershed Management Studies,2011,1,1
Hydrology and Watershed Management Studies,2018,1,0
Hydrology and Watershed Management Studies,2020,2,7
Hydrology and Watershed Management Studies,2021,1,14
Hydrology and Watershed Management Studies,2022,3,97
Hydrology and Watershed Management Studies,2023,2,69
Hydrology and Watershed Management Studies,2024,2,25
Ichthyology and Marine Biology,1991,1,0
Ichthyology and Marine Biology,1999,1,18
Ichthyology and Marine Biology,2010,1,87
Ichthyology and Marine Biology,2015,1,63
Ichthyology and Marine Biology,2016,1,11
Ichthyology and Marine Biology,2018,1,12
Ichthyology and Marine Biology,2019,1,133
Ichthyology and Marine Biology,2020,1,27
Ichthyology and Marine Biology,2022,3,1
Ichthyology and Marine Biology,2023,1,3
Identification and Quantification in Food,1984,1,2
Image and Signal Denoising Methods,1994,1,3
Image and Signal Denoising Methods,2015,1,0
Image and Signal Denoising Methods,2017,1,0
Image and Signal Denoising Methods,2019,5,30
Image and Signal Denoising Methods,2022,1,8
Image and Signal Denoising Methods,2023,2,18
Image and Signal Denoising Methods,2025,2,1
Image Processing and 3D Reconstruction,2020,1,0
Image Processing and 3D Reconstruction,2022,2,0
Image Processing and 3D Reconstruction,2023,2,14
Image Processing and 3D Reconstruction,2024,2,17
Image Processing Techniques and Applications,2019,1,0
Image Processing Techniques and Applications,2022,1,8
Immune Cell Function and Interaction,1978,1,24
Immune Cell Function and Interaction,2021,1,32
Immunotherapy and Immune Responses,1975,1,99
Impact of Light on Environment and Health,2023,1,14
Industrial Automation and Control Systems,1986,2,75
Industrial Gas Emission Control,2026,1,1
Inertial Sensor and Navigation,2015,4,0
Inertial Sensor and Navigation,2019,1,0
Inertial Sensor and Navigation,2020,1,17
Infrared Target Detection Methodologies,2015,2,0
Infrastructure Maintenance and Monitoring,2025,1,5
Inhalation and Respiratory Drug Delivery,2022,1,1
"Innovation, Sustainability, Human-Machine Systems",2018,1,0
Innovative concrete reinforcement materials,2022,1,10
Innovative Microfluidic and Catalytic Techniques Innovation,2022,1,1
Integrated Energy Systems Optimization,2022,1,84
Integrated Energy Systems Optimization,2026,1,0
Integrated Water Resources Management,2005,1,3
Integrated Water Resources Management,2011,1,0
Internet of Things and AI,2023,1,31
Interpreting and Communication in Healthcare,2003,1,0
Ion channel regulation and function,2026,1,0
Ion Channels and Receptors,2026,1,0
Ionic liquids properties and applications,2024,1,4
Iron oxide chemistry and applications,2013,1,41
Iron oxide chemistry and applications,2023,1,11
Iron oxide chemistry and applications,2026,1,0
Islamic Studies and History,2005,1,11
Islamic Studies and History,2010,1,0
Isotope Analysis in Ecology,1972,1,58
Isotope Analysis in Ecology,1985,1,94
Isotope Analysis in Ecology,1987,2,44
Isotope Analysis in Ecology,1989,1,44
Isotope Analysis in Ecology,1990,1,23
Isotope Analysis in Ecology,1995,1,7
Isotope Analysis in Ecology,1997,1,4
Isotope Analysis in Ecology,1998,1,260
Isotope Analysis in Ecology,1999,2,45
Isotope Analysis in Ecology,2001,3,116
Isotope Analysis in Ecology,2002,1,0
Isotope Analysis in Ecology,2004,1,18
Isotope Analysis in Ecology,2006,1,11
Isotope Analysis in Ecology,2008,1,0
Isotope Analysis in Ecology,2010,4,110
Isotope Analysis in Ecology,2011,4,94
Isotope Analysis in Ecology,2012,3,98
Isotope Analysis in Ecology,2013,1,0
Isotope Analysis in Ecology,2014,4,53
Isotope Analysis in Ecology,2015,1,13
Isotope Analysis in Ecology,2016,5,123
Isotope Analysis in Ecology,2017,4,24
Isotope Analysis in Ecology,2018,3,19
Isotope Analysis in Ecology,2019,6,69
Isotope Analysis in Ecology,2020,2,22
Isotope Analysis in Ecology,2021,6,39
Isotope Analysis in Ecology,2022,10,35
Isotope Analysis in Ecology,2023,5,3
Isotope Analysis in Ecology,2024,2,3
Jungian Analytical Psychology,2023,1,0
Karst Systems and Hydrogeology,1962,1,0
Karst Systems and Hydrogeology,1978,1,0
Karst Systems and Hydrogeology,2001,1,3
Karst Systems and Hydrogeology,2003,1,37
Karst Systems and Hydrogeology,2007,1,16
Karst Systems and Hydrogeology,2010,1,67
Karst Systems and Hydrogeology,2014,1,3
Karst Systems and Hydrogeology,2018,1,29
Karst Systems and Hydrogeology,2020,3,5
Karst Systems and Hydrogeology,2021,1,0
Karst Systems and Hydrogeology,2023,2,25
Karst Systems and Hydrogeology,2024,2,12
Karst Systems and Hydrogeology,2025,1,2
Karst Systems and Hydrogeology,2026,5,4
Land Use and Ecosystem Services,2022,1,30
Landfill Environmental Impact Studies,1998,1,0
Landslides and related hazards,2000,1,0
Landslides and related hazards,2010,1,0
Landslides and related hazards,2012,1,13
Landslides and related hazards,2015,1,34
Landslides and related hazards,2018,1,9
Landslides and related hazards,2020,1,3
Landslides and related hazards,2023,1,0
Landslides and related hazards,2024,2,4
Landslides and related hazards,2025,1,2
Language and Culture,1993,2,14
Language Development and Disorders,2006,1,0
"Language, Metaphor, and Cognition",2022,1,0
"Law, logistics, and international trade",2019,1,8
Leadership and Management in Organizations,2003,1,1
Legal case studies and regulations,1999,1,0
Legal case studies and regulations,2005,1,0
Legal case studies and regulations,2021,1,0
Legal Cases and Commentary,1999,1,0
Legal Cases and Commentary,2005,1,0
Legal Education and Practice Innovations,2004,1,0
Lichen and fungal ecology,2009,1,0
Lignin and Wood Chemistry,2005,1,50
Linguistics and Discourse Analysis,1983,1,0
linguistics and terminology studies,2006,1,0
Machine Learning and ELM,2023,1,24
Magnesium Alloys: Properties and Applications,2026,1,0
Magnesium in Health and Disease,2026,2,0
Magnesium Oxide Properties and Applications,2022,1,10
Marine and coastal ecosystems,2003,1,0
Marine and coastal ecosystems,2018,3,38
Marine and coastal ecosystems,2019,3,8
Marine and coastal ecosystems,2021,2,102
Marine and coastal ecosystems,2022,3,71
Marine and coastal ecosystems,2024,1,4
Marine and coastal ecosystems,2025,2,3
Marine and Coastal Ecosystems,2022,1,1
Marine and coastal plant biology,2006,1,37
Marine and coastal plant biology,2007,1,2
Marine and coastal plant biology,2009,1,1
Marine and coastal plant biology,2014,1,37
Marine and coastal plant biology,2017,1,21
Marine and coastal plant biology,2018,1,0
Marine and coastal plant biology,2019,2,17
Marine and coastal plant biology,2020,1,7
Marine and coastal plant biology,2021,1,0
Marine and coastal plant biology,2022,1,0
Marine and coastal plant biology,2023,1,1
Marine and environmental studies,1966,1,60
Marine and environmental studies,1970,1,106
Marine and environmental studies,1972,1,58
Marine and environmental studies,1976,2,39
Marine and environmental studies,1977,1,57
Marine and environmental studies,1979,1,3
Marine and environmental studies,1980,1,19
Marine and environmental studies,1982,2,70
Marine and environmental studies,1983,1,62
Marine and environmental studies,1985,1,11
Marine and environmental studies,1986,1,14
Marine and environmental studies,1987,1,0
Marine and environmental studies,1991,3,10
Marine and environmental studies,1992,4,157
Marine and environmental studies,1994,1,34
Marine and environmental studies,1996,2,4
Marine and environmental studies,1997,5,33
Marine and environmental studies,1998,3,45
Marine and environmental studies,1999,1,48
Marine and environmental studies,2000,4,79
Marine and environmental studies,2001,1,3
Marine and environmental studies,2002,7,587
Marine and environmental studies,2003,4,14
Marine and environmental studies,2004,2,84
Marine and environmental studies,2005,8,262
Marine and environmental studies,2006,2,60
Marine and environmental studies,2007,4,161
Marine and environmental studies,2008,2,23
Marine and environmental studies,2009,2,29
Marine and environmental studies,2010,7,152
Marine and environmental studies,2011,2,16
Marine and environmental studies,2012,4,79
Marine and environmental studies,2013,4,22
Marine and environmental studies,2014,3,34
Marine and environmental studies,2015,3,17
Marine and environmental studies,2016,4,10
Marine and environmental studies,2017,8,9
Marine and environmental studies,2018,5,5
Marine and environmental studies,2019,4,14
Marine and environmental studies,2020,7,3
Marine and environmental studies,2021,2,15
Marine and environmental studies,2022,12,17
Marine and environmental studies,2023,8,7
Marine and environmental studies,2024,5,33
Marine and environmental studies,2025,5,11
Marine and fisheries research,1991,1,17
Marine and fisheries research,2008,1,14
Marine and fisheries research,2018,1,3
Marine and fisheries research,2019,2,4
Marine and fisheries research,2022,2,22
Marine and Offshore Engineering Studies,2026,1,2
Marine animal studies overview,2022,1,0
Marine Biology and Ecology Research,1983,1,3
Marine Biology and Ecology Research,1985,1,94
Marine Biology and Ecology Research,1987,2,63
Marine Biology and Ecology Research,1988,1,14
Marine Biology and Ecology Research,1989,2,58
Marine Biology and Ecology Research,1990,2,50
Marine Biology and Ecology Research,1991,1,17
Marine Biology and Ecology Research,1996,3,141
Marine Biology and Ecology Research,1997,3,100
Marine Biology and Ecology Research,1998,1,260
Marine Biology and Ecology Research,1999,2,64
Marine Biology and Ecology Research,2000,2,32
Marine Biology and Ecology Research,2001,3,176
Marine Biology and Ecology Research,2002,1,29
Marine Biology and Ecology Research,2003,2,107
Marine Biology and Ecology Research,2005,8,154
Marine Biology and Ecology Research,2006,4,109
Marine Biology and Ecology Research,2007,5,197
Marine Biology and Ecology Research,2008,10,300
Marine Biology and Ecology Research,2009,4,96
Marine Biology and Ecology Research,2010,5,121
Marine Biology and Ecology Research,2011,5,66
Marine Biology and Ecology Research,2012,4,66
Marine Biology and Ecology Research,2013,4,34
Marine Biology and Ecology Research,2014,3,60
Marine Biology and Ecology Research,2015,3,13
Marine Biology and Ecology Research,2016,7,73
Marine Biology and Ecology Research,2017,7,62
Marine Biology and Ecology Research,2018,11,57
Marine Biology and Ecology Research,2019,8,98
Marine Biology and Ecology Research,2020,5,17
Marine Biology and Ecology Research,2021,6,33
Marine Biology and Ecology Research,2022,9,59
Marine Biology and Ecology Research,2023,4,15
Marine Biology and Ecology Research,2024,5,25
Marine Biology and Ecology Research,2025,8,4
Marine Biology and Ecology Research,2026,3,1
Marine Biology and Environmental Chemistry,1972,1,58
Marine Biology and Environmental Chemistry,2017,1,1
Marine Bivalve and Aquaculture Studies,2001,1,73
Marine Bivalve and Aquaculture Studies,2015,1,0
Marine Bivalve and Aquaculture Studies,2016,1,65
Marine Bivalve and Aquaculture Studies,2023,2,2
Marine Bivalve and Aquaculture Studies,2024,1,6
Marine Ecology and Invasive Species,2000,1,28
Marine Ecology and Invasive Species,2004,1,26
Marine Ecology and Invasive Species,2008,1,0
Marine Ecology and Invasive Species,2015,1,63
Marine Invertebrate Physiology and Ecology,2002,1,106
Marine Invertebrate Physiology and Ecology,2004,1,18
Marine Invertebrate Physiology and Ecology,2007,1,98
Marine Sponges and Natural Products,2010,1,139
Marine Sponges and Natural Products,2019,1,133
Marine Toxins and Detection Methods,2018,1,0
Maritime and Coastal Archaeology,1962,2,4
Maritime and Coastal Archaeology,1976,1,19
Maritime and Coastal Archaeology,1977,1,57
Maritime and Coastal Archaeology,1980,1,6
Maritime and Coastal Archaeology,1982,1,5
Maritime and Coastal Archaeology,1994,1,29
Maritime and Coastal Archaeology,1999,1,48
Maritime and Coastal Archaeology,2002,1,23
Maritime and Coastal Archaeology,2007,1,0
Maritime and Coastal Archaeology,2010,2,19
Maritime and Coastal Archaeology,2013,1,10
Maritime and Coastal Archaeology,2014,1,0
Maritime and Coastal Archaeology,2017,1,34
Maritime and Coastal Archaeology,2018,1,5
Maritime and Coastal Archaeology,2019,2,4
Maritime and Coastal Archaeology,2020,1,0
Maritime and Coastal Archaeology,2022,3,1
Maritime and Coastal Archaeology,2023,2,20
Maritime and Coastal Archaeology,2024,1,18
Maritime Navigation and Safety,2022,2,40
Maritime Navigation and Safety,2024,1,1
Market Dynamics and Volatility,2006,1,15
Market Dynamics and Volatility,2021,1,10
Market Dynamics and Volatility,2025,1,3
Mass Spectrometry Techniques and Applications,2015,2,0
Materials Engineering and Processing,2026,1,0
Media Influence and Health,2001,1,131
Medical History and Innovations,1997,1,0
Medical Image Segmentation Techniques,2019,1,1
Medical Imaging Techniques and Applications,2020,1,0
Mediterranean and Iberian flora and fauna,1989,1,6
Mediterranean and Iberian flora and fauna,1999,2,20
Mediterranean and Iberian flora and fauna,2005,2,4
Mediterranean and Iberian flora and fauna,2015,1,3
Membrane Separation Technologies,2023,4,141
Membrane-based Ion Separation Techniques,2023,1,49
Membrane-based Ion Separation Techniques,2025,2,5
Mercury impact and mitigation studies,2021,1,0
Metal Extraction and Bioleaching,1988,1,223
Metal Extraction and Bioleaching,1990,1,4
Metal Extraction and Bioleaching,1992,1,1
Metal Extraction and Bioleaching,2023,1,1
Metal Extraction and Bioleaching,2025,1,0
Metal Extraction and Bioleaching,2026,1,0
Metal Forming Simulation Techniques,2022,1,0
Metallurgical Processes and Thermodynamics,2021,1,20
Methane Hydrates and Related Phenomena,1984,1,22
Methane Hydrates and Related Phenomena,1985,1,4
Methane Hydrates and Related Phenomena,1987,3,10
Methane Hydrates and Related Phenomena,1989,7,41
Methane Hydrates and Related Phenomena,1990,2,223
Methane Hydrates and Related Phenomena,1991,5,126
Methane Hydrates and Related Phenomena,1994,2,481
Methane Hydrates and Related Phenomena,1995,1,7
Methane Hydrates and Related Phenomena,1996,2,77
Methane Hydrates and Related Phenomena,1998,2,21
Methane Hydrates and Related Phenomena,1999,2,38
Methane Hydrates and Related Phenomena,2001,2,31
Methane Hydrates and Related Phenomena,2003,2,361
Methane Hydrates and Related Phenomena,2004,2,70
Methane Hydrates and Related Phenomena,2005,5,120
Methane Hydrates and Related Phenomena,2006,8,789
Methane Hydrates and Related Phenomena,2008,4,93
Methane Hydrates and Related Phenomena,2009,5,188
Methane Hydrates and Related Phenomena,2010,8,138
Methane Hydrates and Related Phenomena,2011,4,56
Methane Hydrates and Related Phenomena,2012,5,86
Methane Hydrates and Related Phenomena,2013,5,53
Methane Hydrates and Related Phenomena,2014,15,444
Methane Hydrates and Related Phenomena,2015,64,205
Methane Hydrates and Related Phenomena,2016,8,151
Methane Hydrates and Related Phenomena,2017,20,260
Methane Hydrates and Related Phenomena,2018,13,157
Methane Hydrates and Related Phenomena,2019,9,143
Methane Hydrates and Related Phenomena,2020,11,69
Methane Hydrates and Related Phenomena,2021,19,170
Methane Hydrates and Related Phenomena,2022,13,133
Methane Hydrates and Related Phenomena,2023,16,431
Methane Hydrates and Related Phenomena,2024,29,288
Methane Hydrates and Related Phenomena,2025,23,44
Methane Hydrates and Related Phenomena,2026,7,3
Microbial Applications in Construction Materials,2025,1,1
Microbial Applications in Construction Materials,2026,1,0
Microbial Community Ecology and Physiology,2010,1,55
Microbial Community Ecology and Physiology,2019,2,69
Microbial Community Ecology and Physiology,2024,1,4
Microbial Community Ecology and Physiology,2025,1,2
Microbial Community Ecology and Physiology,2026,1,0
Microplastics and Plastic Pollution,2024,2,5
Mine drainage and remediation techniques,2005,1,5
Mine drainage and remediation techniques,2008,1,39
Mine drainage and remediation techniques,2015,2,43
Mine drainage and remediation techniques,2020,1,34
Mine drainage and remediation techniques,2024,2,2
Mine drainage and remediation techniques,2025,2,13
Mine drainage and remediation techniques,2026,1,1
Mineral Processing and Grinding,2016,2,59
Mineral Processing and Grinding,2017,2,3
Mineral Processing and Grinding,2018,1,6
Mineral Processing and Grinding,2020,6,106
Mineral Processing and Grinding,2021,2,4
Mineral Processing and Grinding,2022,6,44
Mineral Processing and Grinding,2023,2,9
Mineral Processing and Grinding,2024,2,0
Mineral Processing and Grinding,2025,3,5
Mineral Processing and Grinding,2026,4,1
Mineralogy and Gemology Studies,1982,1,0
Mineralogy and Gemology Studies,1990,1,4
Mineralogy and Gemology Studies,2003,1,0
Mineralogy and Gemology Studies,2007,1,0
Mineralogy and Gemology Studies,2009,1,0
Mineralogy and Gemology Studies,2011,1,0
Mineralogy and Gemology Studies,2016,1,0
Mineralogy and Gemology Studies,2017,1,0
Mineralogy and Gemology Studies,2020,3,107
Mineralogy and Gemology Studies,2022,2,1
Mineralogy and Gemology Studies,2025,1,0
Mineralogy and Gemology Studies,2026,1,1
Mining and Gasification Technologies,1990,1,0
Mining and Gasification Technologies,1992,1,1
Mining and Gasification Technologies,2003,1,0
Mining and Gasification Technologies,2014,1,2
Mining and Resource Management,2015,1,0
Mining and Resource Management,2023,1,1
Mining Techniques and Economics,1983,1,2
Mining Techniques and Economics,1990,1,0
Molecular Biology Techniques and Applications,2014,4,0
Mollusks and Parasites Studies,1959,1,2
Mollusks and Parasites Studies,1960,1,2
Mollusks and Parasites Studies,1998,1,3
Mollusks and Parasites Studies,2005,1,0
Mollusks and Parasites Studies,2018,1,0
Monetary Policy and Economic Impact,1985,1,0
Morphological variations and asymmetry,1984,1,21
Morphological variations and asymmetry,2021,1,3
Multiple Myeloma Research and Treatments,2021,1,32
Multisensory perception and integration,1977,1,123
Municipal Solid Waste Management,2019,1,0
Mycobacterium research and diagnosis,2017,1,70
Mycorrhizal Fungi and Plant Interactions,2025,1,0
Nanomaterials for catalytic reactions,2021,1,25
Nanomaterials for catalytic reactions,2025,1,10
Nanoparticles: synthesis and applications,2021,1,25
Nanoporous metals and alloys,2025,1,4
National Identity and Symbolism,2015,1,0
Natural Language Processing Techniques,2020,1,0
Natural Resources and Economic Development,1991,1,5
Natural Resources and Economic Development,1998,1,74
Natural Resources and Economic Development,2018,1,5
Natural Resources and Economic Development,2024,1,3
Nematode management and characterization studies,2004,1,26
Neural Networks and Applications,2009,1,11
Neural Networks and Applications,2019,1,2
Neural Networks and Applications,2023,1,0
Neurobiology and Insect Physiology Research,2010,1,139
Neurobiology and Insect Physiology Research,2020,1,9
Neuroendocrine regulation and behavior,2000,1,103
Neuropeptides and Animal Physiology,1988,1,52
Neuropeptides and Animal Physiology,1991,1,41
Neuroscience and Music Perception,1977,1,123
NMR spectroscopy and applications,2017,1,187
NMR spectroscopy and applications,2018,1,30
NMR spectroscopy and applications,2019,4,102
NMR spectroscopy and applications,2020,3,79
NMR spectroscopy and applications,2021,4,43
NMR spectroscopy and applications,2022,3,14
NMR spectroscopy and applications,2024,2,25
NMR spectroscopy and applications,2025,3,6
Nuclear Materials and Properties,2010,1,0
Nuclear materials and radiation effects,2011,1,25
Nuclear Physics and Applications,2015,2,0
Nuclear Physics and Applications,2023,1,10
"Nursing Education, Practice, and Leadership",2004,1,0
"Nutrition, Health, and Society Studies",1994,1,0
Ocean Acidification Effects and Responses,2010,1,18
Ocean Acidification Effects and Responses,2013,1,0
Ocean Acidification Effects and Responses,2023,1,0
Ocean Acidification Effects and Responses,2024,3,17
Ocean Acidification Effects and Responses,2025,1,0
Oceanographic and Atmospheric Processes,2013,1,10
Oceanographic and Atmospheric Processes,2015,2,0
Oceanographic and Atmospheric Processes,2024,1,1
Oceanographic and Atmospheric Processes,2025,1,1
Offshore Engineering and Technologies,2014,1,0
Offshore Engineering and Technologies,2015,14,0
Offshore Engineering and Technologies,2020,6,0
Offshore Engineering and Technologies,2026,1,0
Oil and Gas Production Techniques,1988,1,12
Oil and Gas Production Techniques,2003,1,1
Oil and Gas Production Techniques,2008,2,2
Oil and Gas Production Techniques,2018,1,2
Oil and Gas Production Techniques,2023,2,5
Oil and Gas Production Techniques,2024,1,1
Oil and Gas Production Techniques,2025,1,0
Oil and Gas Production Techniques,2026,1,0
Oil Palm Production and Sustainability,2021,1,0
Oil Spill Detection and Mitigation,2019,1,0
Oil Spill Detection and Mitigation,2021,3,189
Oil Spill Detection and Mitigation,2022,1,40
"Oil, Gas, and Environmental Issues",2015,1,50
Olfactory and Sensory Function Studies,1991,2,23
Optical measurement and interference techniques,2025,1,0
Oral and Maxillofacial Pathology,2024,1,15
Oral microbiology and periodontitis research,2005,1,27
Oral microbiology and periodontitis research,2007,1,6
Organizational Learning and Leadership,1997,1,0
Oropharyngeal Anatomy and Pathologies,2019,1,8
Paleontology and Evolutionary Biology,1964,1,1
Paleontology and Evolutionary Biology,1966,1,39
Paleontology and Evolutionary Biology,1985,1,1
Paleontology and Evolutionary Biology,1991,1,18
Paleontology and Evolutionary Biology,1993,1,126
Paleontology and Evolutionary Biology,1996,1,8
Paleontology and Evolutionary Biology,1999,3,45
Paleontology and Evolutionary Biology,2000,4,72
Paleontology and Evolutionary Biology,2002,1,0
Paleontology and Evolutionary Biology,2004,1,0
Paleontology and Evolutionary Biology,2005,3,59
Paleontology and Evolutionary Biology,2006,4,67
Paleontology and Evolutionary Biology,2007,3,103
Paleontology and Evolutionary Biology,2008,4,175
Paleontology and Evolutionary Biology,2009,2,87
Paleontology and Evolutionary Biology,2010,1,14
Paleontology and Evolutionary Biology,2011,1,2
Paleontology and Evolutionary Biology,2012,1,104
Paleontology and Evolutionary Biology,2013,1,18
Paleontology and Evolutionary Biology,2014,1,121
Paleontology and Evolutionary Biology,2016,2,32
